year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
2006,Germany,Nuremberg,Group F,Japan,Croatia,0,0,D,no win conditions,Draw match,Draw match,2006-06-18,Jun,Sunday,2000s,June
2006,Germany,Hamburg,Group H,Saudi Arabia,Ukraine,0,4,A,no win conditions,Ukraine,Saudi Arabia,2006-06-19,Jun,Monday,2000s,June
2006,Germany,Stuttgart,Group H,Spain,Tunisia,3,1,H,no win conditions,Spain,Tunisia,2006-06-19,Jun,Monday,2000s,June
2006,Germany,Dortmund,Group G,Togo,Switzerland,0,2,A,no win conditions,Switzerland,Togo,2006-06-19,Jun,Monday,2000s,June
2006,Germany,Hanover,Group A,Costa Rica,Poland,1,2,A,no win conditions,Poland,Costa Rica,2006-06-20,Jun,Tuesday,2000s,June
2006,Germany,Berlin,Group A,Germany,Ecuador,3,0,H,no win conditions,Germany,Ecuador,2006-06-20,Jun,Tuesday,2000s,June
2006,Germany,Kaiserslautern,Group B,Paraguay,Trinidad and Tobago,2,0,H,no win conditions,Paraguay,Trinidad and Tobago,2006-06-20,Jun,Tuesday,2000s,June
2006,Germany,Cologne,Group B,Sweden,England,2,2,D,no win conditions,Draw match,Draw match,2006-06-20,Jun,Tuesday,2000s,June
2006,Germany,Leipzig,Group D,Iran,Angola,1,1,D,no win conditions,Draw match,Draw match,2006-06-21,Jun,Wednesday,2000s,June
2006,Germany,Munich,Group C,Ivory Coast,Serbia,3,2,H,no win conditions,Ivory Coast,Serbia,2006-06-21,Jun,Wednesday,2000s,June
2006,Germany,Frankfurt am Main,Group C,Netherlands,Argentina,0,0,D,no win conditions,Draw match,Draw match,2006-06-21,Jun,Wednesday,2000s,June
2006,Germany,Gelsenkirchen,Group D,Portugal,Mexico,2,1,H,no win conditions,Portugal,Mexico,2006-06-21,Jun,Wednesday,2000s,June
2006,Germany,Stuttgart,Group F,Croatia,Australia,2,2,D,no win conditions,Draw match,Draw match,2006-06-22,Jun,Thursday,2000s,June
2006,Germany,Hamburg,Group E,Czech Republic,Italy,0,2,A,no win conditions,Italy,Czech Republic,2006-06-22,Jun,Thursday,2000s,June
2006,Germany,Nuremberg,Group E,Ghana,United States,2,1,H,no win conditions,Ghana,United States,2006-06-22,Jun,Thursday,2000s,June
2006,Germany,Dortmund,Group F,Japan,Brazil,1,4,A,no win conditions,Brazil,Japan,2006-06-22,Jun,Thursday,2000s,June
2006,Germany,Kaiserslautern,Group H,Saudi Arabia,Spain,0,1,A,no win conditions,Spain,Saudi Arabia,2006-06-23,Jun,Friday,2000s,June
2006,Germany,Hanover,Group H,Switzerland,South Korea,2,0,H,no win conditions,Switzerland,South Korea,2006-06-23,Jun,Friday,2000s,June
2006,Germany,Cologne,Group G,Togo,France,0,2,A,no win conditions,France,Togo,2006-06-23,Jun,Friday,2000s,June
2006,Germany,Berlin,Group G,Ukraine,Tunisia,1,0,H,no win conditions,Ukraine,Tunisia,2006-06-23,Jun,Friday,2000s,June
2006,Germany,Leipzig,Round of 16,Argentina,Mexico,2,1,H,Argentina won in AET,Argentina,Mexico,2006-06-24,Jun,Saturday,2000s,June
2006,Germany,Munich,Round of 16,Germany,Sweden,2,0,H,no win conditions,Germany,Sweden,2006-06-24,Jun,Saturday,2000s,June
2006,Germany,Stuttgart,Round of 16,England,Ecuador,1,0,H,no win conditions,England,Ecuador,2006-06-25,Jun,Sunday,2000s,June
2006,Germany,Nuremberg,Round of 16,Portugal,Netherlands,1,0,H,no win conditions,Portugal,Netherlands,2006-06-25,Jun,Sunday,2000s,June
2006,Germany,Kaiserslautern,Round of 16,Italy,Australia,1,0,H,no win conditions,Italy,Australia,2006-06-26,Jun,Monday,2000s,June
2006,Germany,Cologne,Round of 16,Switzerland,Ukraine,0,0,A,Ukraine won in penalties (3- 0),Ukraine,Switzerland,2006-06-26,Jun,Monday,2000s,June
